"","gamma","alpha","rho","sigma_eps_sq","alpha_tilde","k","Y_inf","obj_fun"
"441",0.439996566152,0.903655362611,0.957059389222,0.139562,0.440546,0.0438898,198.621,2126.5
"442",0.151208485467,0.468923123838,0.939542754341,0.0126751,0.131362,0.062362,169.38,2174
"443",0.58669711059,1.58211426707,0.954007246798,0.515061,0.974215,0.047084,181.991,2123.08
"444",0.368455893629,0.876867501176,0.941392552245,0.0694271,0.381694,0.0603951,161.65,2096.78
"445",0.59392974717,1.55780041435,0.957652089872,0.510247,0.967572,0.0432707,194.043,2102.07
"446",0.586913740635,1.46579025634,0.962344180464,0.466864,0.897948,0.0383831,222.272,2099.27
"447",0.376488990309,0.784486583548,0.953538521379,0.0801446,0.341812,0.0475755,200.468,2131.67
"448",0.522975739592,1.46434445029,0.94469586098,0.286602,0.821121,0.0568922,173.921,2115.42
"449",0.299073123265,0.700798228844,0.942438838378,0.0400462,0.267151,0.0592843,169.425,2121.42
"450",0.420992029088,1.23424482436,0.927767041282,0.103478,0.59184,0.0749746,147.843,2068.98
"451",0.58525024339,1.69146921389,0.949000257996,0.520342,1.04093,0.0523462,173.026,2127.86
"452",0.507455663448,0.899966067521,0.972650912183,0.24554,0.484042,0.02773,287.879,2125.27
"453",0.680848870262,1.95115436046,0.963923345331,1.10062,1.36452,0.0367435,207.65,2102.69
"454",0.409845675372,0.907635666643,0.94917920176,0.0978293,0.422811,0.0521577,175.794,2093.23
"455",0.00566800729413,0.358839110125,0.929947830897,0.00258899,0.0720861,0.0726268,155.945,2074.51
"456",0.15300064806,0.503283018923,0.934747479268,0.0110164,0.142255,0.0674789,163.011,2123.01
"457",0.515233584491,1.41850389934,0.943834165332,0.261694,0.787027,0.0578048,167.972,2106.14
"458",0.375251313818,0.960678876645,0.937271538682,0.078497,0.423224,0.0647822,161.983,2117.69
"459",0.331970804516,0.653169818361,0.955600429516,0.0498672,0.261233,0.0454154,208.173,2107.71
"460",0.432074873504,1.11594371757,0.939179328861,0.122929,0.542992,0.0627488,158.639,2097.31
"461",0.436170513129,0.988310435896,0.950541157849,0.123701,0.480531,0.0507238,183.641,2096.02
"462",0.580776676533,1.5550044313,0.955513662482,0.461599,0.947597,0.0455062,193.766,2107.84
"463",0.636736932627,1.48935339971,0.969598532373,0.72649,0.978728,0.0308732,233.324,2098.41
"464",0.213836307684,0.505099005444,0.947036362173,0.0162498,0.160972,0.0544178,180.999,2078.46
"465",0.454429346352,1.07681920049,0.948107546812,0.151922,0.541231,0.0532873,174.094,2107.14
"466",1.0395483863e-05,0.378459804916,0.924766482606,0.00240846,0.0752375,0.078214,152.984,2067.62
"467",0.201590343582,0.576339171153,0.934843052288,0.017039,0.181341,0.0673766,160.378,2122.7
"468",0.433363337484,1.01176272828,0.947888717184,0.122111,0.490572,0.0535182,176.607,2097.96
"469",0.552454521004,1.36090137869,0.957904323538,0.413405,0.793932,0.0430074,203.643,2155.08
"470",0.0819181452109,0.435392093461,0.930311394402,0.00568542,0.105355,0.0722359,155.288,2109.55
"471",0.345101917392,0.672978115823,0.956693891726,0.0603026,0.275552,0.0442718,213.18,2132.2
"472",0.648617559433,2.17422024912,0.9480962681,0.810649,1.46214,0.0532992,171.87,2088.68
"473",0.445920183454,1.12300480629,0.941293672653,0.15768,0.559477,0.0605001,156.92,2136.52
"474",0.6555826584,1.68071842993,0.967544540334,0.936329,1.13431,0.0329938,226.103,2125.54
"475",0.379595976464,0.864852948709,0.947155603058,0.0882447,0.381139,0.0542919,182.188,2149.56
